CODIGO_DA_IES,NOME_DA_IES,SIGLA,ORGANIZACAO_ACADEMICA,MUNICIPIO,UF,SITUACAO_IES
21995,Faculdade de Tecnologia Senac Curitiba,,Faculdade,Curitiba,PR,Ativa
1768,FACULDADE REGIONAL SERRANA,FUNPAC,Faculdade,Venda Nova do Imigrante,ES,Extinta
5701,UNIVERSIDADE DO ESTADO DO AMAPÁ,UEAP,Universidade,Macapá,AP,Ativa
23261,Faculdade São Judas de São Bernardo do Campo,,Faculdade,São Bernardo do Campo,SP,Ativa
4250,FACULDADE DE CIÊNCIAS GERENCIAIS ALVES FORTES (JUIZ DE FORA),FACE ALFOR JF,Faculdade,Juiz de Fora,MG,Extinta
626,CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO,UNICNEC,Centro Universitário,Osório,RS,Ativa
2428,FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE CAMPOS GERAIS,FACICA,Faculdade,Campos Gerais,MG,Ativa
1419,CENTRO UNIVERSITÁRIO CURITIBA,UNICURITIBA,Centro Universitário,Curitiba,PR,Ativa
2538,FACULDADE VENDA NOVA DO IMIGRANTE,FAVENI,Faculdade,Venda Nova do Imigrante,ES,Ativa
275,UNIVERSIDADE DO VALE DO PARAÍBA,UNIVAP,Universidade,São José dos Campos,SP,Ativa
14123,Faculdade Presidente Antônio Carlos de Bom Sucesso,FUNEES Bom Sucesso,Faculdade,Bom Sucesso,MG,Extinta
22760,Faculdade Fleming Cerquilho,Fac Cerquilho,Faculdade,Cerquilho,SP,Ativa
3188,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS",IFNMG,"Instituto Federal de Educação, Ciência e Tecnologia",Montes Claros,MG,Ativa
25167,FACULDADE SIGMA,SIGMA EAD,Faculdade,Ibicaraí,BA,Ativa
17952,Faculdade de Tecnologia de Jacareí,FATEC Jacareí,Faculdade,Jacareí,SP,Ativa
660,FACULDADE METODISTA DO SUL PAULISTA,FMSP,Faculdade,Itapeva,SP,Extinta
1244,Centro Universitário Multivix Vitória,null,Centro Universitário,Vitória,ES,Ativa
1494,Centro Universitário Salesiano,UniSales,Centro Universitário,Vitória,ES,Ativa
21877,FACULDADE INTEGRADA DA AMAZÔNIA,FINAMA,Faculdade,Belém,PA,Ativa
1253,FACULDADE METODISTA GRANBERY,FMG,Faculdade,Juiz de Fora,MG,Ativa
15526,FACULDADE UNIRB CEARÁ,F.CEARÁ,Faculdade,Fortaleza,CE,Ativa
3757,FACULDADE SERRA DA MESA,FASEM,Faculdade,Uruaçu,GO,Ativa
3363,FACULDADE GUARAÍ,FAG,Faculdade,Guaraí,TO,Ativa
21982,Faculdade Integrada CETE,FIC,Faculdade,Garanhuns,PE,Ativa
338,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC MINAS,Universidade,Belo Horizonte,MG,Ativa
22113,Faculdade Pitagoras Anhanguera de Santa Cruz do Sul,,Faculdade,Santa Cruz do Sul,RS,Extinta
5053,FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO,FAETERJ PARACAMBI,Faculdade,Paracambi,RJ,Ativa
1279,FACULDADE DE ITÁPOLIS - FACITA,FACITA,Faculdade,Itápolis,SP,Ativa
22313,FACULDADE NOVE DE JULHO DE BAURU,NOVE-BAURU,Faculdade,Bauru,SP,Ativa
1624,FACULDADE MARECHAL RONDON,FMR,Faculdade,São Manuel,SP,Ativa
25613,ACADEMIA DE POLÍCIA MILITAR DE MINAS GERAIS,APM,Faculdade,Belo Horizonte,MG,Ativa
1502,FACULDADE ANHANGUERA PITÁGORAS DE JUNDIAÍ,null,Faculdade,Jundiaí,SP,Ativa
14724,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ",IFPR,"Instituto Federal de Educação, Ciência e Tecnologia",Curitiba,PR,Ativa
728,FACULDADE DE CIÊNCIAS HUMANAS DE CURVELO,FACIC,Faculdade,Curvelo,MG,Ativa
25001,INSTITUTO GOIANO DE DIREITO,IGD,Faculdade,Goiânia,GO,Ativa
12547,FACITEN - FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE NATAL,FACITEN,Faculdade,Natal,RN,Ativa
13484,FACULDADE EUROPÉIA DE VITÓRIA,FAEV,Faculdade,Cariacica,ES,Ativa
3306,FACULDADE DE TECNOLOGIA IPUC,FATIPUC,Faculdade,Canoas,RS,Ativa
24996,Faculdade Uniavan Joinville,UNIAVAN,Faculdade,Joinville,SC,Ativa
21953,Instituto União das Faculdades Americanas,IUFA,Faculdade,Formosa,GO,Extinta
18099,Faculdade de Tecnologia de Diadema Luigi Papaiz,FATEC DIADEMA,Faculdade,Diadema,SP,Ativa
14622,FACULDADE UNIFTB,null,Faculdade,Tobias Barreto,SE,Ativa
22702,FACULDADE PITÁGORAS UNOPAR DE CHAPECÓ,,Faculdade,Chapecó,SC,Ativa
18735,Faculdade AGES de Lagarto,Faculdade AGES,Faculdade,Lagarto,SE,Ativa
18667,FACULDADE SANTO ANTÔNIO,FSA,Faculdade,Caçapava,SP,Ativa
668,CENTRO UNIVERSITÁRIO DE ENSINO SUPERIOR DO AMAZONAS,CIESA,Centro Universitário,Manaus,AM,Ativa
19850,FACULDADE MAURÍCIO DE NASSAU DE NITERÓI,FMN NITERÓI,Faculdade,Niterói,RJ,Extinta
2044,INSTITUTO SUPERIOR DE EDUCAÇÃO VALE DO SALGADO,IVS,Faculdade,Icó,CE,Extinta
1835,Faculdade de Colinas do Tocantins,null,Faculdade,Colinas do Tocantins,TO,Ativa
1356,CENTRO UNIVERSITÁRIO DE SANTA FÉ DO SUL,UNIFUNEC,Centro Universitário,Santa Fé do Sul,SP,Ativa
18736,Escola Superior de Tecnologia & Gestão de Santa Catarina,EST&G,Faculdade,Florianópolis,SC,Ativa
1096,FACULDADE DE PRESIDENTE EPITÁCIO - FAPE,FAPE,Faculdade,Presidente Epitácio,SP,Ativa
166,"FAI - CENTRO DE ENSINO SUPERIOR EM GESTÃO, TECNOLOGIA E EDUCAÇÃO",,Faculdade,Santa Rita do Sapucaí,MG,Ativa
1257,"FACULDADE DE ADMINISTRAÇÃO, CIÊNCIAS, EDUCAÇÃO E LETRAS",FACEL,Faculdade,Curitiba,PR,Extinta
22627,Faculdade Abrange ABC,FABRANGE,Faculdade,São Bernardo do Campo,SP,Ativa
1336,CENTRO UNIVERSITÁRIO ASSIS GURGACZ,FAG,Centro Universitário,Cascavel,PR,Ativa
23890,FACULDADES INTEGRADAS DE SAÚDE E EDUCAÇÃO DO BRASIL,FISEB,Faculdade,Cuiabá,MT,Ativa
22566,Faculdade Metropolitana de Itacoatiara,FAMETRO,Faculdade,Itacoatiara,AM,Ativa
726,FACULDADE ESTADUAL DE FILOSOFIA CIÊNCIAS E LETRAS DE JACAREZINHO,FAFIJA,Faculdade,Jacarezinho,PR,Extinta
18158,FACULDADE MADALENA SOFIA,FMS,Faculdade,Curitiba,PR,Ativa
1525,FACULDADE DE CIÊNCIAS CONTÁBEIS DE AFONSO CLÁUDIO,ISEAC,Faculdade,Afonso Cláudio,ES,Extinta
152,FACULDADE DE CIÊNCIAS CONTÁBEIS,FACIC,Faculdade,Salvador,BA,Ativa
2232,FACULDADE DE ADMINISTRAÇÃO E MARKETING DE BRASÍLIA,FAMA,Faculdade,Brasília,DF,Extinta
627,FACULDADE CNEC VARGINHA,null,Faculdade,Varginha,MG,Ativa
13300,FACULDADE ADJETIVO CETEP,ADJETIVO-CETEP,Faculdade,Mariana,MG,Ativa
2454,FACULDADE MAFRENSE DE TURISMO E CIÊNCIAS HUMANAS DE TERESINA,FAMA,Faculdade,Teresina,PI,Extinta
2133,"Faculdade de Ciências, Educação e Teologia do Norte do Brasil",FACETEN,Faculdade,Boa Vista,RR,Ativa
18956,Faculdade de Ciências e Tecnologia de Janaúba,FACITEC,Faculdade,Janaúba,MG,Ativa
622,FACULDADES INTEGRADAS SILVA E SOUZA,FAU,Faculdade,Rio de Janeiro,RJ,Ativa
4652,FACULDADE ANHANGÜERA DE SÃO JOSÉ,null,Faculdade,São José dos Campos,SP,Ativa
5403,CENTRO UNIVERSITÁRIO OPET,Uniopet,Centro Universitário,Curitiba,PR,Ativa
2500,FACULDADE EINSTEIN,null,Faculdade,Salvador,BA,Ativa
1885,CENTRO UNIVERSITÁRIO UNIDADE DE ENSINO SUPERIOR DOM BOSCO,UNDB,Centro Universitário,São Luís,MA,Ativa
12766,FACULDADE UNIÃO DE CAMPO MOURÃO,null,Faculdade,Campo Mourão,PR,Ativa
23877,"INSIDE - Instituto Superior para Integração, Desenvolvimento e Educação",INSIDE,Faculdade,Brasília,DF,Ativa
916,FACULDADE ESTÁCIO DE TERESINA,ESTÁCIO TERESINA,Faculdade,Teresina,PI,Ativa
2117,FACULDADE DE CIÊNCIA E TECNOLOGIA,FACITEC,Faculdade,Palotina,PR,Ativa
2944,FACULDADE ANHANGUERA DE ITABUNA,null,Faculdade,Itabuna,BA,Ativa
18734,Faculdade de Martinópolis,FAMA,Faculdade,Martinópolis,SP,Ativa
20328,FACULDADE DE ODONTOLOGIA DA APCD,FAOA,Faculdade,São Paulo,SP,Ativa
2575,FACULDADES INTEGRADAS SOARES DE OLIVEIRA,FISO,Faculdade,Barretos,SP,Ativa
19838,Faculdade Lusitana de Pernambuco,FALUP,Faculdade,Carpina,PE,Ativa
23177,Faculdade de Educação Superior de Catalão,,Faculdade,Catalão,GO,Ativa
18051,Faculdades de Ciências e Tecnologia do Nordeste LTDA,FACINE,Faculdade,Fortaleza,CE,Ativa
4070,ESCOLA AGROTÉCNICA FEDERAL DE SALINAS,EAFSALINAS,Faculdade,Salinas,MG,Extinta
21687,FACULDADE ANHANGUERA ITABIRA,null,Faculdade,Itabira,MG,Ativa
34,FACULDADE DE TECNOLOGIA DE SÃO PAULO,FATEC-SP,Faculdade,São Paulo,SP,Ativa
22425,FACULDADE ESAMC FRANCA,ESAMC FRANCA,Faculdade,Franca,SP,Ativa
5671,CENTRO UNIVERSITÁRIO SÃO JOSÉ DE ITAPERUNA,null,Centro Universitário,Itaperuna,RJ,Ativa
4024,FACULDADE DE TECNOLOGIA DE MOCOCA,FATEC,Faculdade,Mococa,SP,Ativa
15451,Faculdade de Direito de Ipatinga,FADIPA,Faculdade,Ipatinga,MG,Ativa
25476,Instituto do Sul de Santa Catarina,,Faculdade,Criciúma,SC,Ativa
403,UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,Universidade,Brasília,DF,Ativa
2620,FACULDADE DE AMPÉRE,FAMPER,Faculdade,Ampére,PR,Ativa
2148,FACULDADE DE PALMAS,FAPAL,Faculdade,Palmas,TO,Ativa
23089,FACULDADE DE NOVA MUTUM,,Faculdade,Nova Mutum,MT,Ativa
13735,"FACULDADE DE TECNOLOGIA, CAPACITAÇÃO E GESTÃO INTEGRAL",FAINTEC,Faculdade,Curitiba,PR,Extinta
25656,INSTITUTO PLENITUDE EDUCAÇÃO,IPLENI,Faculdade,São Paulo,SP,Ativa
21200,Faculdade ISMD,ISMD,Faculdade,Belo Horizonte,MG,Ativa
2346,INSTITUTO SUPERIOR DE FILOSOFIA BERTHIER,IFIBE,Faculdade,Passo Fundo,RS,Ativa
12625,ESCOLA SUPERIOR DE AVIAÇÃO CIVIL,ESAC,Faculdade,Campina Grande,PB,Ativa
23012,Faculdade Liber de Porangatu,FacLiber,Faculdade,Porangatu,GO,Ativa
21788,Instituto de Desenvolvimento Educacional,IDE,Faculdade,Recife,PE,Ativa
14127,Faculdade Presidente Antônio Carlos de Campo Belo,FUNEES Campo Belo,Faculdade,Campo Belo,MG,Extinta
14243,Faculdade Presidente Antônio Carlos de Itabirito,,Faculdade,Itabirito,MG,Ativa
1440,INSTITUTO APHONSIANO DE ENSINO SUPERIOR,IAESUP,Faculdade,Trindade,GO,Ativa
25387,Faculdade Guerra,FAG,Faculdade,Brasília,DF,Ativa
1753,FACULDADE DE ENFERMAGEM NOVA ESPERANÇA,FACENE,Faculdade,João Pessoa,PB,Ativa
1263,FACULDADE BEZERRA DE ARAÚJO,FABA,Faculdade,Rio de Janeiro,RJ,Ativa
935,FACULDADE PAULISTA,null,Faculdade,São Bernardo do Campo,SP,Extinta
4096,Faculdade de Tecnologia FTEC de Porto Alegre,FTEC Porto Alegre,Faculdade,Porto Alegre,RS,Ativa
271,UNIVERSIDADE DO OESTE PAULISTA,UNOESTE,Universidade,Presidente Prudente,SP,Ativa
3770,FACULDADE TEOLÓGICA BATISTA DE SÃO PAULO,FTBSP,Faculdade,São Paulo,SP,Ativa
4832,FACULDADE POLITÉCNICA DE TAUBATÉ,null,Faculdade,Taubaté,SP,Extinta
900,FACULDADE UNIRIO,null,Faculdade,Porto Velho,RO,Ativa
1030,Centro Universitário IBMEC,IBMEC,Centro Universitário,Rio de Janeiro,RJ,Ativa
757,Centro Universitário da Amazônia,Unama,Centro Universitário,Santarém,PA,Ativa
1785,FACULDADE DE COLIDER,FACIDER,Faculdade,Colíder,MT,Ativa
466,UNIVERSIDADE ANHEMBI MORUMBI,UAM,Universidade,São Paulo,SP,Ativa
15709,Faculdade de Tecnologia de Osasco - Prefeito Hirant Sanazar,Fatec Osasco,Faculdade,Osasco,SP,Ativa
22176,Faculdade ENAU,FacEnau,Faculdade,Ribeirão Pires,SP,Ativa
631,FACULDADE CNEC FARROUPILHA,null,Faculdade,Farroupilha,RS,Ativa
17887,Faculdade de Ciências Médicas de São José dos Campos,,Faculdade,São José dos Campos,SP,Ativa
1070,FACULDADE CNEC UNAÍ,null,Faculdade,Unaí,MG,Ativa
3159,FACULDADE DE TECNOLOGIA SENAI FLORIANÓPOLIS,SENAI -SC - CTAI,Faculdade,Florianópolis,SC,Ativa
12421,FACULDADES COC DE SÃO PAULO,FACOCSP,Faculdade,São Paulo,SP,Extinta
1479,FACULDADES INTEGRADAS TIBIRIÇÁ,FATI,Faculdade,São Paulo,SP,Extinta
270,FACULDADE DE TUPÃ,null,Faculdade,Tupã,SP,Ativa
21444,Faculdade Ágape de São Félix,,Faculdade,São Félix do Xingu,PA,Ativa
2613,Centro Universitário Estácio Meta de Rio Branco Estácio,UNIMETA,Centro Universitário,Rio Branco,AC,Ativa
3777,FACULDADE CURITIBANA,FAC,Faculdade,Curitiba,PR,Ativa
1589,FACULDADE DE CASCAVEL,FADEC,Faculdade,Cascavel,PR,Extinta
2566,INSTITUTO DE ENSINO SUPERIOR DE OLINDA,IESO,Faculdade,Olinda,PE,Ativa
1587,FACULDADE ANHANGUERA DE TANGARÁ DA SERRA,FITS,Faculdade,Tangará da Serra,MT,Ativa
20481,Faculdade de Bragança,FABRA,Faculdade,Bragança,PA,Ativa
781,FACULDADE ANHANGUERA DE RONDONÓPOLIS,FAR,Faculdade,Rondonópolis,MT,Ativa
1766,FACULDADE ESPÍRITO SANTENSE,UNICAPE,Faculdade,Cariacica,ES,Ativa
2014,FACULDADE SETELAGOANA DE CIÊNCIAS GERENCIAIS,FASCIG,Faculdade,Sete Lagoas,MG,Extinta
22625,FACULDADE BOOKPLAY,null,Faculdade,Votuporanga,SP,Ativa
4868,FACULDADE HSM,null,Faculdade,Santa Rita do Passa Quatro,SP,Extinta
20548,FACULDADE UNINTA TIANGUA,null,Faculdade,Tianguá,CE,Ativa
1701,FACULDADE MACHADO DE ASSIS,FAMA,Faculdade,Rio de Janeiro,RJ,Ativa
15001,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,UNILA,Universidade,Foz do Iguaçu,PR,Ativa
3191,INSTITUTO SUPERIOR DE EDUCAÇÃO DE SANTA CATARINA,ISESC,Instituto Superior ou Escola Superior,Joinville,SC,Extinta
13811,TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS,null,Faculdade,Rio de Janeiro,RJ,Ativa
1790,FACULDADE DO SUL DA BAHIA,FASB,Faculdade,Teixeira de Freitas,BA,Ativa
25474,Faculdade Microlins,FAMIC,Faculdade,Catanduva,SP,Ativa
1545,FACULDADE DE BOITUVA,FIB,Faculdade,Boituva,SP,Ativa
17394,FACULDADE 05 DE JULHO,F5,Faculdade,Sobral,CE,Ativa
19739,Faculdade de Tecnologia de Campinas,FATEC CAMPINAS,Faculdade,Campinas,SP,Ativa
21275,Faculdade Anhanguera de Erechim,,Faculdade,Erechim,RS,Extinta
364,FACULDADE DE CIÊNCIAS CONTÁBEIS DE PONTE NOVA,FACE,Faculdade,Ponte Nova,MG,Extinta
2896,Centro Universitário SATC,UniSATC,Centro Universitário,Criciúma,SC,Ativa
22599,FACULDADE CECAPE,,Faculdade,Juazeiro do Norte,CE,Ativa
3397,"FACULDADE BOAS NOVAS DE CIÊNCIAS TEOLÓGICAS, SOCIAIS E BIOTECNOLÓGICAS",FBNCTSB,Faculdade,Manaus,AM,Ativa
21654,Faculdade de Engenharia e Agrimensura de São Paulo,FEASP,Faculdade,São Paulo,SP,Ativa
1818,FACULDADE ANHANGUERA DE BELO HORIZONTE,null,Faculdade,Belo Horizonte,MG,Ativa
2270,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE EXTREMA,FAEX,Faculdade,Extrema,MG,Ativa
1605,FACULDADE DE ADMINISTRAÇÃO DE NOVA ANDRADINA - FANOVA,FANOVA,Faculdade,Nova Andradina,MS,Ativa
21693,Faculdade Anhanguera Franca,FAF,Faculdade,Franca,SP,Ativa
17875,Faculdade Católica de Belém,FACBEL,Faculdade,Ananindeua,PA,Ativa
17288,Faculdade Teológica Betânia,FATEBE,Faculdade,Curitiba,PR,Ativa
374,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,FMU,Centro Universitário,São Paulo,SP,Ativa
5419,FACULDADE EVANGÉLICA DE TAGUATINGA,FE TAGUATINGA,Faculdade,Brasília,DF,Extinta
24979,Instituto Brasil de Ensino Superior,IBRAS,Faculdade,Ponta Grossa,PR,Ativa
1038,FACULDADES INTEGRADAS DE TRÊS LAGOAS,AEMS,Faculdade,Três Lagoas,MS,Ativa
78,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ALEGRE,FAFIA,Faculdade,Alegre,ES,Ativa
20321,FACULDADE IMPACTO,,Faculdade,Maceió,AL,Ativa
1156,Faculdade CNEC Alberto Torres,null,Faculdade,Itaboraí,RJ,Ativa
1046,UNIÃO DAS FACULDADES DOS GRANDES LAGOS,UNILAGO,Faculdade,São José do Rio Preto,SP,Ativa
801,FACULDADE MONTENEGRO,FAM,Faculdade,Ibicaraí,BA,Extinta
339,FACULDADE DE JOÃO PESSOA (SANTA EMÍLIA DO RODAT),null,Faculdade,João Pessoa,PB,Ativa
14429,FACULDADE ANHANGUERA DE MACEIÓ,,Faculdade,Maceió,AL,Ativa
4010,CENTRO UNIVERSITÁRIO METODISTA,IPA,Centro Universitário,Porto Alegre,RS,Ativa
4899,FACULDADE DE CIÊNCIAS MÉDICAS DA BAHIA,CIENCIAS MEDICAS,Faculdade,Santa Cruz Cabrália,BA,Extinta
14211,Faculdade Presidente Antônio Carlos de Nazareno,FUNEES,Faculdade,Nazareno,MG,Extinta
14785,FACULDADE DE TECNOLOGIA SENAI MARINGÁ,,Faculdade,Maringá,PR,Extinta
3146,FACULDADE DE ODONTOLOGIA DO RECIFE,FOR,Faculdade,Recife,PE,Ativa
762,FACULDADES INTEGRADAS DE FÁTIMA DO SUL,FIFASUL,Faculdade,Fátima do Sul,MS,Extinta
19913,Faculdade Estácio de Jataí Estácio Jataí,Estácio Jataí,Faculdade,Jataí,GO,Extinta
2113,FACULDADE DOM BOSCO DE PORTO ALEGRE,FDB,Faculdade,Porto Alegre,RS,Ativa
13,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Universidade,Caxias do Sul,RS,Ativa
789,UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,Universidade,Boa Vista,RR,Ativa
11752,FACULDADE SUDOESTE PAULISTA - TATUÍ - FSP,TATUÍ - FSP,Faculdade,Tatuí,SP,Extinta
19214,Faculdade Norte e Nordeste do Brasil,FANOR - BRASIL,Faculdade,Itinga do Maranhão,MA,Ativa
22634,FACULDADE FASIPE DE RONDONÓPOLIS,FFR,Faculdade,Rondonópolis,MT,Ativa
15468,Faculdade Presidente Antônio Carlos de Leopoldina,,Faculdade,Leopoldina,MG,Ativa
19555,Favenorte de Porteirinha,FAVEPORT,Faculdade,Porteirinha,MG,Ativa
1995,FACULDADE DE MEDICINA NOVA ESPERANÇA,FAMENE,Faculdade,João Pessoa,PB,Ativa
983,FACULDADE PRUDENTE DE MORAES,FPM,Faculdade,Itu,SP,Extinta
20709,Faculdade Fecomercio Roraima,FACORR,Faculdade,Boa Vista,RR,Ativa
5315,Faculdades Unificadas de Iúna,FUI,Faculdade,Iúna,ES,Ativa
609,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,UNIOESTE,Universidade,Cascavel,PR,Ativa
15504,FACULDADE IRECÊ,FAI,Faculdade,Irecê,BA,Ativa
24392,FACULDADE DINÂMICA,FACDIN,Faculdade,Santa Terezinha de Goiás,GO,Ativa
22975,UNICORP FACULDADES,UNICORP,Faculdade,João Pessoa,PB,Ativa
190,ESCOLA DE MEDICINA SOUZA MARQUES DA FUNDAÇÃO TÉCNICO-EDUCACIONAL SOUZA MARQUES,EMSM,Faculdade,Rio de Janeiro,RJ,Ativa
4815,FACULDADE DE TECNOLOGIA SENAI NADIR DIAS DE FIGUEIREDO,null,Faculdade,Osasco,SP,Ativa
4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Manaus,AM,Ativa
3295,FACULDADE SENAC FLORIANÓPOLIS,SENAC FLORIANÓPOLIS,Faculdade,Florianópolis,SC,Ativa
700,FACULDADE DE EDUCAÇÃO DE ITABORAÍ,FEITA,Faculdade,Itaboraí,RJ,Ativa
5033,FACULDADE PRISMA,FAP,Faculdade,Montes Claros,MG,Extinta
659,FACULDADE DE CIÊNCIAS HUMANAS DO SUL PAULISTA,FACHI,Faculdade,Itapeva,SP,Extinta
1524,FACULDADE OLGA METTIG,FAMETTIG,Faculdade,Salvador,BA,Ativa
5352,FACULDADE DE CIÊNCIAS E TECNOLOGIA DE NATAL,FACITEN,Faculdade,Natal,RN,Extinta
24687,FACULDADE DE MEDICINA ESTÁCIO DE CASTANHAL,ESTÁCIO FMEC,Faculdade,Castanhal,PA,Ativa
452,CENTRO UNIVERSITÁRIO LUTERANO DE MANAUS,CEULM/ULBRA,Centro Universitário,Manaus,AM,Ativa
2200,FACULDADE VALE DO GORUTUBA,FAVAG,Faculdade,Nova Porteirinha,MG,Ativa
13630,ESCOLA SUPERIOR DO MINISTÉRIO PÚBLICO DA UNIÃO,ESMPU,Escola de Governo,Brasília,DF,Ativa
1690,FACULDADE DE SÃO VICENTE,FSV,Faculdade,São Vicente,SP,Ativa
25466,Faculdade de Ensino Jurídico de Vitória,FEJ,Faculdade,Vitória,ES,Ativa
482,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,UNESC,Universidade,Criciúma,SC,Ativa
19586,FACULDADE UNITÀ,UNITÀ,Faculdade,Campinas,SP,Ativa
21691,Faculdade Pitágoras Belo Jardim,,Faculdade,Belo Jardim,PE,Extinta
15757,Faculdade de Tecnologia de Barueri,Fatec Barueri,Faculdade,Barueri,SP,Ativa
14342,FACULDADE REDENTOR DE CAMPOS,FACREDENTOR,Faculdade,Campos dos Goytacazes,RJ,Extinta
1292,Centro Universitário de Adamantina,FAI,Centro Universitário,Adamantina,SP,Ativa
3525,"FACULDADE EVANGÉLICA DE TECNOLOGIA, CIÊNCIAS E BIOTECNOLOGIA DA CGADB",FAECAD,Faculdade,Rio de Janeiro,RJ,Ativa
21537,Faculdade de Santo Ângelo,FASA,Faculdade,Santo Ângelo,RS,Ativa
21362,Faculdade Centro Oeste Catanduvas,FACOC,Faculdade,Catanduvas,SC,Ativa
1299,FACULDADES INTEGRADAS DE FERNANDÓPOLIS,FIFE,Faculdade,Fernandópolis,SP,Ativa
22441,FACULDADE Ensin.E,ENSIN.E,Faculdade,Juiz de Fora,MG,Ativa
1198,FACULDADE DE CIÊNCIAS SOCIAIS E APLICADAS DO PARANÁ,FACET,Faculdade,Curitiba,PR,Extinta
1918,Centro Universitário Univinte,null,Centro Universitário,Capivari de Baixo,SC,Ativa
24677,Faculdade FaCiencia,FaCiencia,Faculdade,Curitiba,PR,Ativa
18034,Centro de Ensino Superior Riograndense,CESURG,Faculdade,Sarandi,RS,Ativa
1601,FACULDADE CIDADE DE COROMANDEL,FCC,Faculdade,Coromandel,MG,Ativa
3609,FACULDADES INTEGRADAS IPITANGA,FACIIP,Faculdade,Lauro de Freitas,BA,Ativa
18133,Faculdade Unida de Campinas Goiânia - FACUNICAMPS GOIÂNIA,FACUNICAMPS,Faculdade,Goiânia,GO,Ativa
15611,Faculdade Tecnológica Latino Americana,FATLA,Faculdade,Porto Alegre,RS,Ativa
4446,FACULDADE CIDADE DE GUANHÃES - FACIG,FACIG,Faculdade,Guanhães,MG,Extinta
2548,"FACULDADE DE TEOLOGIA, FILOSOFIA E CIÊNCIAS HUMANAS GAMALIEL",FATEFIG,Faculdade,Tucuruí,PA,Ativa
4629,Faculdade Innovare,FACINN,Faculdade,São Paulo,SP,Ativa
281,CONSERVATÓRIO DRAMÁTICO MUSICAL SÃO PAULO,CDMSP,Faculdade,São Paulo,SP,Extinta
5591,FACULDADES INTEGRADAS CAMÕES,FICA,Faculdade,Curitiba,PR,Ativa
2334,FACULDADE CNEC RIO DAS OSTRAS,null,Faculdade,Rio das Ostras,RJ,Ativa
1743,FACULDADE DE TECNOLOGIA OSWALDO CRUZ,FATEC OSWALDO CRUZ,Faculdade,São Paulo,SP,Ativa
20100,Instituto Leya de Educação Superior,Leya,Faculdade,Brasília,DF,Ativa
1446,CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL - UNIPLAN,UNIPLAN,Centro Universitário,Brasília,DF,Ativa
14892,FACULDADE DE CIÊNCIAS DA SAÚDE DE BARRETOS DR. PAULO PRATA,FACISB,Faculdade,Barretos,SP,Ativa
3456,FACULDADE POLITÉCNICA DE CAMPINAS,POLICAMP,Faculdade,Campinas,SP,Ativa
19255,Faculdade Pitágoras de Bom Jesus da Lapa,,Faculdade,Bom Jesus da Lapa,BA,Extinta
1733,FACULDADE DE ENSINO SUPERIOR DE MARECHAL CÂNDIDO RONDON,ISEPE  RONDON,Faculdade,Marechal Cândido Rondon,PR,Ativa
22470,Faculdade Universalis,FACSALIS,Faculdade,Aracaju,SE,Ativa
17628,Faculdade do Maciço do Baturité,FMB,Faculdade,Baturité,CE,Ativa
2626,FACULDADE DE COMUNICAÇÃO SOCIAL SANTA EFIGÊNIA,FACULDADE VEREDAS,Faculdade,Conselheiro Lafaiete,MG,Extinta
17348,Faculdade Alis de Itabirito,null,Faculdade,Itabirito,MG,Ativa
1656,INSTITUTO DE ENSINO SUPERIOR DE TERESINA,IEST,Faculdade,Teresina,PI,Ativa
10385,INSTITUTO SÃO PAULO DE ESTUDOS SUPERIORES,ITESP,Faculdade,São Paulo,SP,Ativa
1828,ESCOLA DA CIDADE - FACULDADE DE ARQUITETURA E URBANISMO,ESCOLA DA CIDADE,Faculdade,São Paulo,SP,Ativa
1231,FACULDADE CNEC SANTO ÂNGELO,null,Faculdade,Santo Ângelo,RS,Ativa
1598,CENTRO UNIVERSITÁRIO UNA DE UBERLÂNDIA,null,Centro Universitário,Uberlândia,MG,Ativa
11007,FACULDADE CENTRO OESTE DO PARANÁ,FACEOPAR,Faculdade,Laranjeiras do Sul,PR,Extinta
