CODIGO_DA_IES,NOME_DA_IES,SIGLA,ORGANIZACAO_ACADEMICA,MUNICIPIO,UF,SITUACAO_IES
135,Claretiano - Centro Universitário,CLARETIANOBT,Centro Universitário,Batatais,SP,Ativa
22641,Faculdade Metropolitana de Parintins,FAMETRO,Faculdade,Parintins,AM,Ativa
19865,Faculdade Una de Pouso Alegre,Una PousoAlegre,Faculdade,Pouso Alegre,MG,Ativa
3051,FACULDADE TEOLÓGICA DE CIÊNCIAS HUMANAS E SOCIAIS LOGOS,FAETEL,Faculdade,São Paulo,SP,Ativa
1307,FACULDADE DE ENSINO SUPERIOR E FORMAÇÃO INTEGRAL,FAEF,Faculdade,Garça,SP,Ativa
16437,FACULDADE DE CIÊNCIAS DA SAÚDE,FACS,Faculdade,Aracaju,SE,Ativa
13014,FACULDADE DE TEOLOGIA DA ARQUIDIOCESE DE BRASÍLIA,FATEO,Faculdade,Brasília,DF,Ativa
18153,FACULDADE CESUMAR DE GUARAPUAVA,FAC-CESUMAR,Faculdade,Guarapuava,PR,Ativa
284,FACULDADE DE MEDICINA DE ITAJUBÁ,FMIT,Faculdade,Itajubá,MG,Ativa
5008,FACULDADES FAMEP,FAMEP,Faculdade,São Pedro do Piauí,PI,Ativa
21206,Escola de Educação Física do Exército,EsEFEx,Faculdade,Rio de Janeiro,RJ,Ativa
1932,FACULDADE PALOTINA,FAPAS,Faculdade,Santa Maria,RS,Ativa
21685,Faculdade Gil Gal,GILGAL,Faculdade,Sousa,PB,Ativa
1892,Centro Universitário de Excelência Eniac,ENIAC,Centro Universitário,Guarulhos,SP,Ativa
22811,Complexo de Ensino Superior de Palmas,CESUP,Faculdade,Palmas,TO,Ativa
21103,FIEP - FACULDADE INTERNACIONAL DE EVOLUÇÃO PROFISSIONAL,FIEP,Faculdade,Salvador,BA,Ativa
1878,CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL INACIANA PE SABÓIA DE MEDEIROS,FEI,Centro Universitário,São Bernardo do Campo,SP,Ativa
3203,INSTITUTO SUPERIOR DE EDUCAÇÃO ALBERT EINSTEIN,ISALBE,Faculdade,Brasília,DF,Ativa
22996,Faculdade de Tecnologia e Ciências - FTC Parnamirim,FTC Parnamirim,Faculdade,Parnamirim,RN,Ativa
5438,FACULDADE DE TECNOLOGIA DE ENSINO SUPERIOR,FATEC,Faculdade,Montes Claros,MG,Extinta
